City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Massaguet,TD,2022-09-08 02:17:26,12.4755,15.4365,81.9,71,64,5.7,broken clouds
108,Ankazoabo,MG,2022-09-08 02:17:26,-22.2833,44.5167,60.57,68,0,8.43,clear sky
109,Matagami,CA,2022-09-08 02:17:27,49.7502,-77.6328,53.71,87,0,0.0,clear sky
110,Ilesha,NG,2022-09-08 02:17:29,7.1371,5.2583,69.64,99,91,2.8,overcast clouds
111,Port Alfred,ZA,2022-09-08 02:08:43,-33.5906,26.891,60.22,86,3,3.58,clear sky
112,Vestmannaeyjar,IS,2022-09-08 02:07:37,63.4427,-20.2734,53.4,84,99,6.46,overcast clouds
113,Polunochnoye,RU,2022-09-08 02:17:32,60.8697,60.4153,41.38,95,100,4.65,overcast clouds
114,Saint George,US,2022-09-08 02:13:13,37.1041,-113.5841,100.99,18,0,11.5,clear sky
115,Castro,BR,2022-09-08 02:09:43,-24.7911,-50.0119,55.94,94,0,3.98,clear sky
116,Hofn,IS,2022-09-08 02:13:21,64.2539,-15.2082,52.41,86,100,4.94,overcast clouds
117,Vanimo,PG,2022-09-08 02:17:35,-2.6741,141.3028,84.2,71,88,5.1,overcast clouds
118,Ndola,ZM,2022-09-08 02:17:36,-12.9587,28.6366,59.65,60,0,7.31,clear sky
119,Torbay,CA,2022-09-08 02:17:37,47.6666,-52.7314,54.39,92,100,18.41,light intensity shower rain
120,Hermanus,ZA,2022-09-08 02:17:38,-34.4187,19.2345,53.8,85,7,6.69,clear sky
121,Hasaki,JP,2022-09-08 02:17:39,35.7333,140.8333,75.6,82,57,20.07,broken clouds
122,Omboue,GA,2022-09-08 02:08:12,-1.5746,9.2618,74.19,87,100,9.62,light rain
123,Ust-Nera,RU,2022-09-08 02:17:41,64.5667,143.2,46.6,91,100,5.03,overcast clouds
124,Sobolevo,RU,2022-09-08 02:17:42,54.4299,31.8996,38.8,96,11,6.64,few clouds
125,Tangping,CN,2022-09-08 02:17:43,22.0265,111.9323,89.11,75,100,6.42,overcast clouds
126,Port Elizabeth,ZA,2022-09-08 02:17:44,-33.918,25.5701,58.32,91,0,10.0,clear sky
127,Butaritari,KI,2022-09-08 02:08:11,3.0707,172.7902,81.46,74,33,15.93,scattered clouds
128,Saint Anthony,US,2022-09-08 02:15:15,45.0205,-93.218,78.91,75,0,5.75,clear sky
129,Fukuyama,JP,2022-09-08 02:17:46,34.4833,133.3667,84.79,58,100,3.78,overcast clouds
130,Orlik,RU,2022-09-08 02:17:48,52.5178,99.825,66.0,39,52,2.77,broken clouds
131,Porto Novo,BJ,2022-09-08 02:17:49,6.4965,2.6036,76.82,89,99,7.85,overcast clouds
132,Luderitz,NA,2022-09-08 02:09:12,-26.6481,15.1594,57.25,72,3,10.54,clear sky
133,Chumikan,RU,2022-09-08 02:12:16,54.7183,135.315,57.96,53,99,23.64,overcast clouds
134,Waipawa,NZ,2022-09-08 02:17:51,-41.4122,175.5153,51.06,70,81,2.21,broken clouds
135,Khatanga,RU,2022-09-08 02:08:02,71.9667,102.5,34.75,70,20,7.92,few clouds
136,Katherine,AU,2022-09-08 02:17:53,-14.4667,132.2667,91.72,29,33,8.05,scattered clouds
137,Moranbah,AU,2022-09-08 02:17:54,-22.0016,148.0466,77.72,43,92,9.64,overcast clouds
138,Tema,GH,2022-09-08 02:17:55,5.667,-0.0166,75.61,94,75,10.36,broken clouds
139,Vavuniya,LK,2022-09-08 02:17:57,8.7514,80.4971,77.47,82,100,8.19,heavy intensity rain
140,Port Blair,IN,2022-09-08 02:08:31,11.6667,92.75,79.48,85,100,20.33,overcast clouds
141,Namibe,AO,2022-09-08 02:10:04,-15.1961,12.1522,64.26,95,64,4.23,broken clouds
